Nearest_Stop,station_complex_id,location,Latitude,Longitude,borough,routes,ridership
"(305, '137 St-City College')",R176,"(40.82201, -73.95367)",40.82201,-73.95367,M,1,2596411
"(304, '145 St')",R178,"(40.82655, -73.95036)",40.82655,-73.95036,M,1,2059736
"(303, '157 St')",R180,"(40.83404, -73.94489)",40.83404,-73.94489,M,1,2246275
"(605, '168 St')",R182,"(40.84072, -73.93956)",40.84072,-73.93956,M,"C,1,A",4768980
"(301, '181 St')",R183,"(40.84951, -73.93359)",40.84951,-73.93359,M,1,2014114
"(300, '191 St')",R185,"(40.85522, -73.92941)",40.85522,-73.92941,M,1,1554594
"(299, 'Dyckman St')",R186,"(40.86053, -73.92554)",40.86053,-73.92554,M,1,1477326
"(298, '207 St')",R188,"(40.86462, -73.91882)",40.86462,-73.91882,M,1,1348267
"(297, '215 St')",R190,"(40.86945, -73.91528)",40.86945,-73.91528,M,1,430466
"(296, 'Marble Hill-225 St')",R192,"(40.87456, -73.90983)",40.87456,-73.90983,M,1,1037756
"(295, '231 St')",R194,"(40.87886, -73.90483)",40.87886,-73.90483,BX,1,1842980
"(294, '238 St')",R196,"(40.88467, -73.90087)",40.88467,-73.90087,BX,1,897846
"(294, '238 St')",R197,"(40.88925, -73.89858)",40.88925,-73.89858,BX,1,1403843
"(414, 'Bowling Green')",R201,"(40.70482, -74.01407)",40.70482,-74.01407,M,"5,4",4444543
"(413, 'Wall St')",R203,"(40.70756, -74.01186)",40.70756,-74.01186,M,"5,4",2796478
"(409, 'Spring St')",R215,"(40.7223, -73.99714)",40.7223,-73.99714,M,6,2584001
"(619, 'Bleecker St')",R217,"(40.72591, -73.99466)",40.72591,-73.99466,M,"F,M,B,,D,6",7951876
"(407, 'Astor Pl')",R219,"(40.73005, -73.99107)",40.73005,-73.99107,M,6,3281566
"(405, '23 St')",R226,"(40.73986, -73.9866)",40.73986,-73.9866,M,6,4897247
"(404, '28 St')",R228,"(40.74307, -73.98426)",40.74307,-73.98426,M,6,3738556
"(403, '33 St')",R231,"(40.74608, -73.98208)",40.74608,-73.98208,M,6,4956885
"(610, 'Grand Central-42 St')",R238,"(40.75178, -73.97684)",40.75178,-73.97684,M,"5,S,4,7,6",24057336
"(399, '68 St-Hunter College')",R246,"(40.76814, -73.96387)",40.76814,-73.96387,M,6,4339088
"(398, '77 St')",R247,"(40.77362, -73.95988)",40.77362,-73.95988,M,6,5416181
"(397, '86 St')",R249,"(40.77949, -73.95559)",40.77949,-73.95559,M,"5,4,6",8932145
"(396, '96 St')",R251,"(40.78567, -73.95107)",40.78567,-73.95107,M,6,3449213
"(395, '103 St')",R252,"(40.7906, -73.94748)",40.7906,-73.94748,M,6,2502815
"(394, '110 St')",R254,"(40.79502, -73.94425)",40.79502,-73.94425,M,6,2066455
"(393, '116 St')",R256,"(40.79863, -73.94162)",40.79863,-73.94162,M,6,2805735
"(392, '125 St')",R258,"(40.80414, -73.93759)",40.80414,-73.93759,M,"5,4,6",4571362
"(391, '138 St-Grand Concourse')",R259,"(40.81322, -73.92985)",40.81322,-73.92985,BX,"5,4",768544
"(603, '149 St-Grand Concourse')",R261,"(40.81837, -73.92735)",40.81837,-73.92735,BX,"2,5,4",2055967
"(388, '167 St')",R283,"(40.83554, -73.9214)",40.83554,-73.9214,BX,4,1858335
"(387, '170 St')",R284,"(40.84008, -73.91779)",40.84008,-73.91779,BX,4,1514027
"(386, 'Mt Eden Av')",R285,"(40.84443, -73.91469)",40.84443,-73.91469,BX,4,991103
"(385, '176 St')",R286,"(40.84848, -73.9118)",40.84848,-73.9118,BX,4,1057768
"(384, 'Burnside Av')",R287,"(40.85345, -73.90768)",40.85345,-73.90768,BX,4,1836485
"(383, '183 St')",R288,"(40.85841, -73.90388)",40.85841,-73.90388,BX,4,1192040
"(382, 'Fordham Rd')",R289,"(40.8628, -73.90103)",40.8628,-73.90103,BX,4,2085841
"(381, 'Kingsbridge Rd')",R290,"(40.86776, -73.89717)",40.86776,-73.89717,BX,4,1809873
"(380, 'Bedford Park Blvd-Lehman College')",R291,"(40.87341, -73.89006)",40.87341,-73.89006,BX,4,1113463
"(379, 'Mosholu Pkwy')",R293,"(40.87975, -73.88466)",40.87975,-73.88466,BX,4,1672408
"(379, 'Mosholu Pkwy')",R294,"(40.88604, -73.87875)",40.88604,-73.87875,BX,4,1216386
"(441, 'Central Park North (110 St)')",R301,"(40.79908, -73.95182)",40.79908,-73.95182,M,"3,2",1498038
"(440, '116 St')",R302,"(40.8021, -73.94962)",40.8021,-73.94962,M,"3,2",1944556
"(439, '125 St')",R304,"(40.80775, -73.9455)",40.80775,-73.9455,M,"3,2",2571052
"(438, '135 St')",R306,"(40.81423, -73.94077)",40.81423,-73.94077,M,"3,2",2286065
"(437, '145 St')",R308,"(40.82042, -73.93625)",40.82042,-73.93625,M,3,598592
"(437, '145 St')",R309,"(40.82388, -73.93647)",40.82388,-73.93647,M,3,635468
"(434, '3 Av-149 St')",R310,"(40.81611, -73.91776)",40.81611,-73.91776,BX,"2,5",3363252
"(433, 'Jackson Av')",R312,"(40.81649, -73.90781)",40.81649,-73.90781,BX,"2,5",954405
"(432, 'Prospect Av')",R314,"(40.81958, -73.90177)",40.81958,-73.90177,BX,"2,5",1253392
"(431, 'Intervale Av')",R316,"(40.82218, -73.89674)",40.82218,-73.89674,BX,"2,5",591272
"(430, 'Simpson St')",R318,"(40.82407, -73.89307)",40.82407,-73.89307,BX,"2,5",1430797
"(429, 'Freeman St')",R320,"(40.82999, -73.89187)",40.82999,-73.89187,BX,"2,5",838392
"(428, '174 St')",R322,"(40.83729, -73.88773)",40.83729,-73.88773,BX,"2,5",1147050
"(427, 'West Farms Sq-E Tremont Av')",R323,"(40.84029, -73.88005)",40.84029,-73.88005,BX,"2,5",1108246
"(426, 'E 180 St')",R325,"(40.84189, -73.87349)",40.84189,-73.87349,BX,"2,5",1493851
"(425, 'Bronx Park East')",R326,"(40.84883, -73.86845)",40.84883,-73.86845,BX,"2,5",468756
"(424, 'Pelham Pkwy')",R328,"(40.85719, -73.86761)",40.85719,-73.86761,BX,"2,5",1434664
"(423, 'Allerton Av')",R329,"(40.86546, -73.86736)",40.86546,-73.86736,BX,"2,5",901914
"(422, 'Burke Av')",R330,"(40.87136, -73.86716)",40.87136,-73.86716,BX,"2,5",552149
"(421, 'Gun Hill Rd')",R331,"(40.87785, -73.86626)",40.87785,-73.86626,BX,"2,5",1151668
"(420, '219 St')",R332,"(40.8839, -73.86263)",40.8839,-73.86263,BX,"2,5",529608
"(419, '225 St')",R333,"(40.88802, -73.86034)",40.88802,-73.86034,BX,"2,5",618222
"(418, '233 St')",R334,"(40.89319, -73.85748)",40.89319,-73.85748,BX,"2,5",850244
"(417, 'Nereid Av')",R335,"(40.89838, -73.85438)",40.89838,-73.85438,BX,"2,5",593065
"(417, 'Nereid Av')",R336,"(40.90313, -73.85062)",40.90313,-73.85062,BX,2,852621
"(377, '3 Av-138 St')",R401,"(40.81047, -73.92614)",40.81047,-73.92614,BX,6,1533423
"(376, 'Brook Av')",R402,"(40.80757, -73.91924)",40.80757,-73.91924,BX,6,1104567
"(375, 'Cypress Av')",R404,"(40.80537, -73.91404)",40.80537,-73.91404,BX,6,555207
"(374, ""E 143 St-St Mary's St"")",R406,"(40.80872, -73.90765)",40.80872,-73.90765,BX,6,259849
"(373, 'E 149 St')",R408,"(40.81212, -73.9041)",40.81212,-73.9041,BX,6,929574
"(372, 'Longwood Av')",R410,"(40.8161, -73.89644)",40.8161,-73.89644,BX,6,684340
"(371, 'Hunts Point Av')",R412,"(40.82095, -73.89055)",40.82095,-73.89055,BX,6,2008192
"(370, 'Whitlock Av')",R413,"(40.82653, -73.88628)",40.82653,-73.88628,BX,6,381416
"(369, 'Elder Av')",R414,"(40.82858, -73.87916)",40.82858,-73.87916,BX,6,1287148
"(368, 'Morrison Av-Soundview')",R415,"(40.82952, -73.87452)",40.82952,-73.87452,BX,6,1232178
"(367, 'St Lawrence Av')",R416,"(40.83151, -73.86761)",40.83151,-73.86761,BX,6,789414
"(366, 'Parkchester')",R417,"(40.83323, -73.86082)",40.83323,-73.86082,BX,6,2904948
"(365, 'Castle Hill Av')",R418,"(40.83426, -73.85122)",40.83426,-73.85122,BX,6,1201889
"(364, 'Zerega Av')",R419,"(40.83649, -73.84704)",40.83649,-73.84704,BX,6,485089
"(363, 'Westchester Sq-E Tremont Av')",R420,"(40.83989, -73.84295)",40.83989,-73.84295,BX,6,1049723
"(362, 'Middletown Rd')",R421,"(40.84386, -73.83632)",40.84386,-73.83632,BX,6,388516
"(361, 'Buhre Av')",R422,"(40.84681, -73.83257)",40.84681,-73.83257,BX,6,745852
"(361, 'Buhre Av')",R423,"(40.85246, -73.82812)",40.85246,-73.82812,BX,6,1203098
"(464, 'Vernon Blvd-Jackson Av')",R504,"(40.74263, -73.95358)",40.74263,-73.95358,Q,7,3222616
"(463, 'Hunters Point Av')",R507,"(40.74221, -73.94891)",40.74221,-73.94891,Q,7,1074240
"(461, 'Queensboro Plaza')",R509,"(40.75058, -73.9402)",40.75058,-73.9402,Q,"N,W,7",3194101
"(6, '39 Av-Dutch Kills')",R510,"(40.75288, -73.93275)",40.75288,-73.93275,Q,"N,W",637895
"(5, '36 Av')",R511,"(40.75681, -73.92957)",40.75681,-73.92957,Q,"N,W",1301333
"(4, 'Broadway')",R512,"(40.76182, -73.92551)",40.76182,-73.92551,Q,"N,W",2405977
"(3, '30 Av')",R513,"(40.76678, -73.92148)",40.76678,-73.92148,Q,"N,W",2670559
"(2, 'Astoria Blvd')",R514,"(40.77026, -73.91785)",40.77026,-73.91785,Q,"N,W",2228913
"(2, 'Astoria Blvd')",R515,"(40.77504, -73.91203)",40.77504,-73.91203,Q,"N,W",3085826
"(460, '33 St-Rawson St')",R516,"(40.74459, -73.931)",40.74459,-73.931,Q,7,1607874
"(459, '40 St-Lowery St')",R518,"(40.74378, -73.92402)",40.74378,-73.92402,Q,7,2043059
"(458, '46 St-Bliss St')",R519,"(40.74313, -73.91843)",40.74313,-73.91843,Q,7,2715605
"(457, '52 St')",R521,"(40.74415, -73.91255)",40.74415,-73.91255,Q,7,1328179
"(456, '61 St-Woodside')",R523,"(40.74563, -73.90298)",40.74563,-73.90298,Q,7,3980375
"(455, '69 St')",R524,"(40.74633, -73.8964)",40.74633,-73.8964,Q,7,1286994
"(616, '74 St-Broadway')",R525,"(40.74685, -73.89133)",40.74685,-73.89133,Q,"F,M,E,R,,7",12022536
"(453, '82 St-Jackson Hts')",R526,"(40.74766, -73.8837)",40.74766,-73.8837,Q,7,3797195
"(452, '90 St-Elmhurst Av')",R527,"(40.74841, -73.87661)",40.74841,-73.87661,Q,7,3799928
"(451, 'Junction Blvd')",R528,"(40.74915, -73.86953)",40.74915,-73.86953,Q,7,5575901
"(450, '103 St-Corona Plaza')",R529,"(40.74987, -73.8627)",40.74987,-73.8627,Q,7,4833605
"(449, '111 St')",R530,"(40.75173, -73.85533)",40.75173,-73.85533,Q,7,2756167
"(448, 'Mets-Willets Point')",R532,"(40.75462, -73.84563)",40.75462,-73.84563,Q,7,1519003
"(448, 'Mets-Willets Point')",R533,"(40.7596, -73.83003)",40.7596,-73.83003,Q,7,12100549
"(334, 'Clark St')",R600,"(40.69747, -73.99309)",40.69747,-73.99309,BK,"3,2",949323
"(620, 'Borough Hall')",R602,"(40.6941, -73.99)",40.6941,-73.99,BK,"3,2,5,R,4,",5590725
"(336, 'Hoyt St')",R606,"(40.69054, -73.98506)",40.69054,-73.98506,BK,"3,2",1462833
"(337, 'Nevins St')",R608,"(40.68825, -73.98049)",40.68825,-73.98049,BK,"3,2,5,4",1828513
"(617, 'Atlantic Av-Barclays Ctr')",R610,"(40.68446, -73.97689)",40.68446,-73.97689,BK,"3,2,5,N,R,Q,4,B,D",8847256
"(339, 'Bergen St')",R617,"(40.68083, -73.9751)",40.68083,-73.9751,BK,"3,2",809536
"(340, 'Grand Army Plaza')",R619,"(40.67524, -73.97105)",40.67524,-73.97105,BK,"3,2",1431370
"(341, 'Eastern Pkwy-Brooklyn Museum')",R621,"(40.67199, -73.96438)",40.67199,-73.96438,BK,"3,2",943550
"(626, 'Franklin Av-Medgar Evers College')",R622,"(40.67068, -73.95813)",40.67068,-73.95813,BK,"3,2,5,4,,S",2941611
"(343, 'Nostrand Av')",R623,"(40.66985, -73.95046)",40.66985,-73.95046,BK,3,759975
"(344, 'Kingston Av')",R624,"(40.6694, -73.94216)",40.6694,-73.94216,BK,3,923919
"(345, 'Crown Hts-Utica Av')",R626,"(40.6689, -73.93295)",40.6689,-73.93295,BK,"3,4",4739553
"(346, 'Sutter Av-Rutland Rd')",R627,"(40.66472, -73.92261)",40.66472,-73.92261,BK,3,1209839
"(347, 'Saratoga Av')",R628,"(40.66145, -73.91633)",40.66145,-73.91633,BK,3,929605
"(348, 'Rockaway Av')",R629,"(40.66255, -73.90894)",40.66255,-73.90894,BK,3,823068
"(349, 'Junius St')",R630,"(40.66351, -73.90245)",40.66351,-73.90245,BK,3,456981
"(350, 'Pennsylvania Av')",R632,"(40.66463, -73.8949)",40.66463,-73.8949,BK,3,801148
"(351, 'Van Siclen Av')",R633,"(40.66545, -73.8894)",40.66545,-73.8894,BK,3,479110
"(352, 'New Lots Av')",R634,"(40.66624, -73.88408)",40.66624,-73.88408,BK,3,1002953
"(343, 'Nostrand Av')",R635,"(40.66788, -73.95068)",40.66788,-73.95068,BK,"2,5",701324
"(354, 'Sterling St')",R636,"(40.66274, -73.95085)",40.66274,-73.95085,BK,"2,5",1145167
"(355, 'Winthrop St')",R637,"(40.65665, -73.9502)",40.65665,-73.9502,BK,"2,5",1520740
"(356, 'Church Av')",R639,"(40.65084, -73.94958)",40.65084,-73.94958,BK,"2,5",1878959
"(357, 'Beverly Rd')",R641,"(40.6451, -73.94896)",40.6451,-73.94896,BK,"2,5",886566
"(358, 'Newkirk Av-Little Haiti')",R643,"(40.63997, -73.94841)",40.63997,-73.94841,BK,"2,5",1387704
"(359, 'Flatbush Av-Brooklyn College')",R645,"(40.63284, -73.94764)",40.63284,-73.94764,BK,"2,5",3468301
"(446, 'Morris Park')",R726,"(40.85436, -73.8605)",40.85436,-73.8605,BX,5,479759
"(445, 'Pelham Pkwy')",R727,"(40.85899, -73.85536)",40.85899,-73.85536,BX,5,557567
"(444, 'Gun Hill Rd')",R728,"(40.86953, -73.84638)",40.86953,-73.84638,BX,5,928838
"(443, 'Baychester Av')",R729,"(40.87866, -73.83859)",40.87866,-73.83859,BX,5,557105
"(443, 'Baychester Av')",R730,"(40.8883, -73.83083)",40.8883,-73.83083,BX,5,768803
