Nearest_Stop,station_complex_id,location,Latitude,Longitude,borough,routes,ridership
"(134, 'Sutter Av')",H037,"(40.66937, -73.90198)",40.66937,-73.90198,BK,L,507724
"(135, 'Livonia Av')",H038,"(40.66404, -73.90057)",40.66404,-73.90057,BK,L,548114
"(136, 'New Lots Av')",H039,"(40.65873, -73.89923)",40.65873,-73.89923,BK,L,725989
"(137, 'East 105 St')",H040,"(40.65057, -73.89948)",40.65057,-73.89948,BK,L,551190
"(138, 'Canarsie-Rockaway Pkwy')",H041,"(40.64665, -73.90185)",40.64665,-73.90185,BK,L,824102
"(101, 'Marcy Av')",J001,"(40.70836, -73.95776)",40.70836,-73.95776,BK,"M,J,Z",2612461
"(100, 'Hewes St')",J003,"(40.70687, -73.95343)",40.70687,-73.95343,BK,"M,J",572067
"(99, 'Lorimer St')",J005,"(40.70387, -73.94741)",40.70387,-73.94741,BK,"M,J",832697
"(98, 'Flushing Av')",J007,"(40.70026, -73.94112)",40.70026,-73.94112,BK,"M,J",1498629
"(97, 'Myrtle Av')",J009,"(40.69721, -73.93565)",40.69721,-73.93565,BK,"M,J,Z",2176692
"(96, 'Kosciuszko St')",J012,"(40.69334, -73.92882)",40.69334,-73.92882,BK,J,1059955
"(95, 'Gates Av')",J013,"(40.68963, -73.92227)",40.68963,-73.92227,BK,"J,Z",1327552
"(94, 'Halsey St')",J016,"(40.68637, -73.91656)",40.68637,-73.91656,BK,J,1111920
"(93, 'Chauncey St')",J017,"(40.68289, -73.91045)",40.68289,-73.91045,BK,"J,Z",574934
"(91, 'Alabama Av')",J020,"(40.67699, -73.89865)",40.67699,-73.89865,BK,J,387390
"(90, 'Van Siclen Av')",J021,"(40.67802, -73.89169)",40.67802,-73.89169,BK,"J,Z",505398
"(89, 'Cleveland St')",J022,"(40.67995, -73.88464)",40.67995,-73.88464,BK,J,461848
"(88, 'Norwood Av')",J023,"(40.68141, -73.88004)",40.68141,-73.88004,BK,"J,Z",505601
"(87, 'Crescent St')",J024,"(40.68319, -73.87379)",40.68319,-73.87379,BK,"J,Z",776268
"(86, 'Cypress Hills')",J025,"(40.68994, -73.87255)",40.68994,-73.87255,BK,J,268012
"(85, '75 St-Elderts Ln')",J028,"(40.69132, -73.86714)",40.69132,-73.86714,Q,"J,Z",647208
"(84, '85 St-Forest Pkwy')",J030,"(40.69244, -73.86001)",40.69244,-73.86001,Q,J,696213
"(83, 'Woodhaven Blvd')",J031,"(40.69388, -73.85158)",40.69388,-73.85158,Q,"J,Z",858679
"(82, '104 St')",J034,"(40.69518, -73.84433)",40.69518,-73.84433,Q,"J,Z",501615
"(81, '111 St')",J035,"(40.69742, -73.83634)",40.69742,-73.83634,Q,J,421605
"(81, '111 St')",J037,"(40.70049, -73.82829)",40.70049,-73.82829,Q,"J,Z",463453
"(114, 'Central Av')",K017,"(40.69786, -73.9274)",40.69786,-73.9274,BK,M,808180
"(113, 'Knickerbocker Av')",K019,"(40.69867, -73.91971)",40.69867,-73.91971,BK,M,824432
"(111, 'Seneca Av')",K022,"(40.70276, -73.90774)",40.70276,-73.90774,Q,M,545814
"(110, 'Forest Av')",K024,"(40.70442, -73.90308)",40.70442,-73.90308,Q,M,871852
"(109, 'Fresh Pond Rd')",K025,"(40.70618, -73.89587)",40.70618,-73.89587,Q,M,1172192
"(109, 'Fresh Pond Rd')",K026,"(40.7114, -73.8896)",40.7114,-73.8896,Q,M,777367
"(298, '207 St')",N002A,"(40.86807, -73.9199)",40.86807,-73.9199,M,A,1590435
"(144, 'Dyckman St')",N003,"(40.86549, -73.92727)",40.86549,-73.92727,M,A,1224728
"(145, '190 St')",N006A,"(40.85902, -73.93418)",40.85902,-73.93418,M,A,793425
"(146, '181 St')",N007A,"(40.8517, -73.93797)",40.8517,-73.93797,M,A,1890819
"(147, '175 St')",N010,"(40.84739, -73.9397)",40.84739,-73.9397,M,A,2143061
"(149, '163 St-Amsterdam Av')",N016A,"(40.83601, -73.9399)",40.83601,-73.9399,M,C,788243
"(150, '155 St')",N017,"(40.83052, -73.94151)",40.83052,-73.94151,M,C,494385
"(151, '145 St')",N019,"(40.82478, -73.94421)",40.82478,-73.94421,M,"C,B,A,D",4323825
"(152, '135 St')",N024,"(40.81789, -73.94765)",40.81789,-73.94765,M,"C,B",1039131
"(153, '125 St')",N026,"(40.81111, -73.95235)",40.81111,-73.95235,M,"C,B,A,D",5297060
"(154, '116 St')",N030,"(40.80508, -73.95488)",40.80508,-73.95488,M,"C,B",1386193
"(155, 'Cathedral Pkwy (110 St)')",N035,"(40.8006, -73.95816)",40.8006,-73.95816,M,"C,B",1546620
"(156, '103 St')",N037,"(40.79609, -73.96146)",40.79609,-73.96146,M,"C,B",934621
"(157, '96 St')",N040,"(40.79164, -73.9647)",40.79164,-73.9647,M,"C,B",1870488
"(158, '86 St')",N043,"(40.78587, -73.96892)",40.78587,-73.96892,M,"C,B",2119281
"(159, '81 St-Museum of Natural History')",N044,"(40.78143, -73.97215)",40.78143,-73.97215,M,"C,B",2843123
"(160, '72 St')",N046,"(40.77559, -73.97641)",40.77559,-73.97641,M,"C,B",1932224
"(614, '59 St-Columbus Circle')",N049,"(40.7683, -73.98174)",40.7683,-73.98174,M,"C,1,B,A,D",14073197
"(162, '50 St')",N056,"(40.76245, -73.98598)",40.76245,-73.98598,M,"C,E",4203004
"(225, '47-50 Sts-Rockefeller Ctr')",N060,"(40.75731, -73.98196)",40.75731,-73.98196,M,"3,C,1,2,S,7,F,M,E,N,R,Q,,B,W,A,D",45796626
"(164, '34 St-Penn Station')",N070,"(40.75229, -73.99339)",40.75229,-73.99339,M,"C,E,A",14845400
"(165, '23 St')",N076,"(40.74591, -73.99804)",40.74591,-73.99804,M,"C,E",3928208
"(618, '14 St')",N078,"(40.74089, -74.00169)",40.74089,-74.00169,M,"C,E,,A,L",9433101
"(167, 'W 4 St-Wash Sq')",N080,"(40.73234, -74.0005)",40.73234,-74.0005,M,"F,M,C,E,B,A,D",8394640
"(168, 'Spring St')",N086,"(40.72623, -74.00374)",40.72623,-74.00374,M,"C,E",2540619
"(169, 'Canal St')",N089,"(40.72083, -74.00523)",40.72083,-74.00523,M,"C,E,A",3344634
"(624, 'Chambers St')",N094,"(40.71411, -74.00858)",40.71411,-74.00858,M,"3,C,E,2,R,,A,W",10509479
"(628, 'Fulton St')",N095,"(40.71037, -74.00657)",40.71037,-74.00657,M,"J,C,3,2,5,Z,4,A",15329162
"(173, 'High St')",N100,"(40.69934, -73.99053)",40.69934,-73.99053,BK,"C,A",2180354
"(636, 'Jay St-MetroTech')",N103,"(40.69234, -73.98594)",40.69234,-73.98594,BK,"F,C,R,A",6752288
"(175, 'Hoyt-Schermerhorn Sts')",N108,"(40.68848, -73.985)",40.68848,-73.985,BK,"C,G,A",2380972
"(176, 'Lafayette Av')",N110,"(40.68611, -73.97395)",40.68611,-73.97395,BK,C,1107244
"(177, 'Clinton-Washington Avs')",N111,"(40.68326, -73.96584)",40.68326,-73.96584,BK,C,1367506
"(627, 'Franklin Av')",N114,"(40.68138, -73.95685)",40.68138,-73.95685,BK,"C,S",1117033
"(179, 'Nostrand Av')",N116,"(40.68044, -73.95042)",40.68044,-73.95042,BK,"C,A",3431110
"(180, 'Kingston-Throop Avs')",N119,"(40.67992, -73.94086)",40.67992,-73.94086,BK,C,1288546
"(181, 'Utica Av')",N120,"(40.67936, -73.93073)",40.67936,-73.93073,BK,"C,A",2742519
"(182, 'Ralph Av')",N121B,"(40.67882, -73.92078)",40.67882,-73.92078,BK,C,1018564
"(183, 'Rockaway Av')",N122,"(40.67834, -73.91195)",40.67834,-73.91195,BK,C,1009149
"(621, 'Broadway Junction')",N124,"(40.6795, -73.90451)",40.6795,-73.90451,BK,"J,C,Z,A,L",1568592
"(185, 'Liberty Av')",N125,"(40.67454, -73.89655)",40.67454,-73.89655,BK,C,472146
"(186, 'Van Siclen Av')",N126,"(40.67271, -73.89036)",40.67271,-73.89036,BK,C,502848
"(187, 'Shepherd Av')",N127,"(40.67413, -73.88075)",40.67413,-73.88075,BK,C,548697
"(188, 'Euclid Av')",N128,"(40.67538, -73.87211)",40.67538,-73.87211,BK,"C,A",1816838
"(189, 'Grant Av')",N129,"(40.67704, -73.86505)",40.67704,-73.86505,BK,A,1058223
"(190, '80 St')",N131,"(40.67937, -73.85899)",40.67937,-73.85899,Q,A,871095
"(191, '88 St')",N133,"(40.67984, -73.85147)",40.67984,-73.85147,Q,A,544533
"(192, 'Rockaway Blvd')",N134,"(40.68043, -73.84386)",40.68043,-73.84386,Q,A,1497573
