,station_complex_id,location,Latitude,Longitude,Nearest_Stop,borough,routes,ridership,Connections
197,N315,"(40.75688, -73.92074)",40.75688,-73.92074,"(271, 'Steinway St')",Q,"M,R",2657420,"[(270, '46 St'), (272, '36 St')]"
198,N316,"(40.75631, -73.91333)",40.75631,-73.91333,"(270, '46 St')",Q,"M,R",1612997,"[(269, 'Northern Blvd'), (271, 'Steinway St')]"
199,N318,"(40.75288, -73.90601)",40.75288,-73.90601,"(269, 'Northern Blvd')",Q,"M,R",1299013,"[(268, '65 St'), (270, '46 St')]"
200,N322,"(40.74967, -73.89845)",40.74967,-73.89845,"(268, '65 St')",Q,"M,R",682224,"[(616, 'Jackson Hts-Roosevelt Av'), (269, 'Northern Blvd')]"
201,N325A,"(40.74245, -73.88202)",40.74245,-73.88202,"(266, 'Elmhurst Av')",Q,"M,R",2448371,"[(265, 'Grand Av-Newtown'), (616, 'Jackson Hts-Roosevelt Av')]"
202,N327,"(40.73701, -73.87722)",40.73701,-73.87722,"(265, 'Grand Av-Newtown')",Q,"M,R",3621383,"[(264, 'Woodhaven Blvd'), (266, 'Elmhurst Av')]"
203,N329,"(40.7331, -73.86923)",40.7331,-73.86923,"(264, 'Woodhaven Blvd')",Q,"M,R",3941776,"[(263, '63 Dr-Rego Park'), (265, 'Grand Av-Newtown')]"
204,N330B,"(40.72985, -73.8616)",40.72985,-73.8616,"(263, '63 Dr-Rego Park')",Q,"M,R",2854509,"[(262, '67 Av'), (264, 'Woodhaven Blvd')]"
205,N331,"(40.72652, -73.85272)",40.72652,-73.85272,"(262, '67 Av')",Q,"M,R",1516645,"[(261, 'Forest Hills-71 Av'), (263, '63 Dr-Rego Park')]"
206,N333A,"(40.72169, -73.84452)",40.72169,-73.84452,"(261, 'Forest Hills-71 Av')",Q,"F,M,E,R",5051017,"[(260, '75 Av'), (262, '67 Av')]"
207,N334B,"(40.71833, -73.83733)",40.71833,-73.83733,"(260, '75 Av')",Q,"F,E",628620,"[(259, 'Kew Gardens-Union Tpke'), (261, 'Forest Hills-71 Av')]"
208,N336,"(40.71444, -73.83101)",40.71444,-73.83101,"(259, 'Kew Gardens-Union Tpke')",Q,"F,E",4578892,"[(258, 'Briarwood'), (260, '75 Av')]"
209,N337,"(40.70918, -73.82057)",40.70918,-73.82057,"(258, 'Briarwood')",Q,"F,E",997580,"[(257, 'Sutphin Blvd'), (259, 'Kew Gardens-Union Tpke')]"
210,N338B,"(40.70546, -73.81071)",40.70546,-73.81071,"(257, 'Sutphin Blvd')",Q,F,850598,"[(256, 'Parsons Blvd'), (258, 'Briarwood')]"
211,N339A,"(40.70757, -73.80333)",40.70757,-73.80333,"(256, 'Parsons Blvd')",Q,F,1407991,"[(255, '169 St'), (257, 'Sutphin Blvd')]"
212,N340A,"(40.71047, -73.7936)",40.71047,-73.7936,"(255, '169 St')",Q,F,1550895,"[(254, 'Jamaica-179 St'), (256, 'Parsons Blvd')]"
213,N343,"(40.71265, -73.78381)",40.71265,-73.78381,"(254, 'Jamaica-179 St')",Q,F,3850935,"[(253, 'Neptune Av'), (255, '169 St')]"
214,N401,"(40.74406, -73.94972)",40.74406,-73.94972,"(282, '21 St')",Q,G,378867,"[(606, 'Court Sq'), (283, 'Greenpoint Av')]"
215,N405,"(40.73135, -73.95445)",40.73135,-73.95445,"(283, 'Greenpoint Av')",BK,G,2115543,"[(282, '21 St'), (284, 'Nassau Av')]"
216,N408A,"(40.72464, -73.95128)",40.72464,-73.95128,"(284, 'Nassau Av')",BK,G,1994585,"[(283, 'Greenpoint Av'), (629, 'Metropolitan Av')]"
217,N412,"(40.70609, -73.95031)",40.70609,-73.95031,"(286, 'Broadway')",BK,G,1010642,"[(629, 'Metropolitan Av'), (287, 'Flushing Av')]"
218,N414,"(40.70038, -73.95023)",40.70038,-73.95023,"(287, 'Flushing Av')",BK,G,634441,"[(286, 'Broadway'), (288, 'Myrtle-Willoughby Avs')]"
219,N415,"(40.69457, -73.94904)",40.69457,-73.94904,"(288, 'Myrtle-Willoughby Avs')",BK,G,1195883,"[(287, 'Flushing Av'), (289, 'Bedford-Nostrand Avs')]"
220,N417,"(40.68963, -73.95352)",40.68963,-73.95352,"(289, 'Bedford-Nostrand Avs')",BK,G,1843210,"[(288, 'Myrtle-Willoughby Avs'), (290, 'Classon Av')]"
221,N419,"(40.68887, -73.96007)",40.68887,-73.96007,"(290, 'Classon Av')",BK,G,1222545,"[(289, 'Bedford-Nostrand Avs'), (291, 'Clinton-Washington Avs')]"
222,N420B,"(40.68809, -73.96684)",40.68809,-73.96684,"(291, 'Clinton-Washington Avs')",BK,G,1115311,"[(290, 'Classon Av'), (292, 'Fulton St')]"
223,N422,"(40.68712, -73.97537)",40.68712,-73.97537,"(292, 'Fulton St')",BK,G,1350386,"[(291, 'Clinton-Washington Avs')]"
