,Daytime_Routes,Complex_ID,Complex_ID_Next,GTFS_Latitude_Next,GTFS_Longitude_Next,GTFS_Latitude,GTFS_Longitude,Stop_Name,Stop_Name_Next
457,SIR,512,511,40.56511,-74.12632,40.5564,-74.136907,Bay Terrace,Oakwood Heights
458,SIR,513,512,40.5564,-74.136907,40.551231,-74.151399,Great Kills,Bay Terrace
459,SIR,514,513,40.551231,-74.151399,40.544601,-74.16457,Eltingville,Great Kills
460,SIR,515,514,40.544601,-74.16457,40.54046,-74.178217,Annadale,Eltingville
461,SIR,516,515,40.54046,-74.178217,40.533674,-74.191794,Huguenot,Annadale
462,SIR,517,516,40.533674,-74.191794,40.525507,-74.200064,Prince's Bay,Huguenot
463,SIR,518,517,40.525507,-74.200064,40.52241,-74.217847,Pleasant Plains,Prince's Bay
464,SIR,519,518,40.52241,-74.217847,40.519631,-74.229141,Richmond Valley,Pleasant Plains
465,SIR,522,519,40.519631,-74.229141,40.512764,-74.251961,Tottenville,Richmond Valley
466,SIR,523,522,40.512764,-74.251961,40.516578,-74.242096,Arthur Kill,Tottenville
