,Daytime_Routes,Complex_ID,Complex_ID_Next,GTFS_Latitude_Next,GTFS_Longitude_Next,GTFS_Latitude,GTFS_Longitude,Stop_Name,Stop_Name_Next
211,F,224,223,40.764629,-73.966113,40.763972,-73.97745,57 St,Lexington Av/63 St
212,B D F M,225,224,40.763972,-73.97745,40.758663,-73.981329,47-50 Sts-Rockefeller Ctr,57 St
213,B D F M,609,225,40.758663,-73.981329,40.754222,-73.984569,42 St-Bryant Pk,47-50 Sts-Rockefeller Ctr
214,B D F M,607,609,40.754222,-73.984569,40.749719,-73.987823,34 St-Herald Sq,42 St-Bryant Pk
215,F M,228,607,40.749719,-73.987823,40.742878,-73.992821,23 St,34 St-Herald Sq
216,F M,601,228,40.742878,-73.992821,40.738228,-73.996209,14 St,23 St
217,B D F M,619,601,40.738228,-73.996209,40.725297,-73.996204,Broadway-Lafayette St,14 St
218,B D,231,619,40.725297,-73.996204,40.718267,-73.993753,Grand St,Broadway-Lafayette St
219,F,232,231,40.718267,-73.993753,40.723402,-73.989938,2 Av,Grand St
220,F,625,232,40.723402,-73.989938,40.718611,-73.988114,Delancey St-Essex St,2 Av
221,F,234,625,40.718611,-73.988114,40.713715,-73.990173,East Broadway,Delancey St-Essex St
222,F,235,234,40.713715,-73.990173,40.701397,-73.986751,York St,East Broadway
223,F G,236,235,40.701397,-73.986751,40.686145,-73.990862,Bergen St,York St
224,F G,237,236,40.686145,-73.990862,40.680303,-73.995048,Carroll St,Bergen St
225,F G,238,237,40.680303,-73.995048,40.67358,-73.995959,Smith-9 Sts,Carroll St
226,F G,608,238,40.67358,-73.995959,40.670272,-73.989779,4 Av-9 St,Smith-9 Sts
227,F G,240,608,40.670272,-73.989779,40.666271,-73.980305,7 Av,4 Av-9 St
228,F G,241,240,40.666271,-73.980305,40.660365,-73.979493,15 St-Prospect Park,7 Av
229,F G,242,241,40.660365,-73.979493,40.650782,-73.975776,Fort Hamilton Pkwy,15 St-Prospect Park
230,F G,243,242,40.650782,-73.975776,40.644041,-73.979678,Church Av,Fort Hamilton Pkwy
231,F,244,243,40.644041,-73.979678,40.636119,-73.978172,Ditmas Av,Church Av
232,F,245,244,40.636119,-73.978172,40.629755,-73.976971,18 Av,Ditmas Av
233,F,246,245,40.629755,-73.976971,40.625322,-73.976127,Avenue I,18 Av
234,F,247,246,40.625322,-73.976127,40.620769,-73.975264,Bay Pkwy,Avenue I
235,F,248,247,40.620769,-73.975264,40.61514,-73.974197,Avenue N,Bay Pkwy
236,F,249,248,40.61514,-73.974197,40.608944,-73.973022,Avenue P,Avenue N
237,F,250,249,40.608944,-73.973022,40.603217,-73.972361,Kings Hwy,Avenue P
238,F,251,250,40.603217,-73.972361,40.596063,-73.973357,Avenue U,Kings Hwy
239,F,252,251,40.596063,-73.973357,40.58962,-73.97425,Avenue X,Avenue U
240,F,253,252,40.58962,-73.97425,40.581011,-73.974574,Neptune Av,Avenue X
242,F,255,254,40.712646,-73.783817,40.71047,-73.793604,169 St,Jamaica-179 St
243,F,256,255,40.71047,-73.793604,40.707564,-73.803326,Parsons Blvd,169 St
244,F,257,256,40.707564,-73.803326,40.70546,-73.810708,Sutphin Blvd,Parsons Blvd
245,E F,258,257,40.70546,-73.810708,40.709179,-73.820574,Briarwood,Sutphin Blvd
246,E F,259,258,40.709179,-73.820574,40.714441,-73.831008,Kew Gardens-Union Tpke,Briarwood
247,E F,260,259,40.714441,-73.831008,40.718331,-73.837324,75 Av,Kew Gardens-Union Tpke
248,E F M R,261,260,40.718331,-73.837324,40.721691,-73.844521,Forest Hills-71 Av,75 Av
249,M R,262,261,40.721691,-73.844521,40.726523,-73.852719,67 Av,Forest Hills-71 Av
250,M R,263,262,40.726523,-73.852719,40.729846,-73.861604,63 Dr-Rego Park,67 Av
251,M R,264,263,40.729846,-73.861604,40.733106,-73.869229,Woodhaven Blvd,63 Dr-Rego Park
252,M R,265,264,40.733106,-73.869229,40.737015,-73.877223,Grand Av-Newtown,Woodhaven Blvd
253,M R,266,265,40.737015,-73.877223,40.742454,-73.882017,Elmhurst Av,Grand Av-Newtown
254,E F M R,616,266,40.742454,-73.882017,40.746644,-73.891338,Jackson Hts-Roosevelt Av,Elmhurst Av
255,M R,268,616,40.746644,-73.891338,40.749669,-73.898453,65 St,Jackson Hts-Roosevelt Av
256,M R,269,268,40.749669,-73.898453,40.752885,-73.906006,Northern Blvd,65 St
257,M R,270,269,40.752885,-73.906006,40.756312,-73.913333,46 St,Northern Blvd
258,M R,271,270,40.756312,-73.913333,40.756879,-73.92074,Steinway St,46 St
259,M R,272,271,40.756879,-73.92074,40.752039,-73.928781,36 St,Steinway St
260,E M R,273,272,40.752039,-73.928781,40.748973,-73.937243,Queens Plaza,36 St
261,E M,606,273,40.748973,-73.937243,40.747846,-73.946,Court Sq-23 St,Queens Plaza
262,E M,612,606,40.747846,-73.946,40.757552,-73.969055,Lexington Av/53 St,Court Sq-23 St
263,E M,276,612,40.757552,-73.969055,40.760167,-73.975224,5 Av/53 St,Lexington Av/53 St
264,B D E,277,276,40.760167,-73.975224,40.762862,-73.981637,7 Av,5 Av/53 St
266,E J Z,279,278,40.702147,-73.801109,40.700486,-73.807969,Sutphin Blvd-Archer Av-JFK Airport,Jamaica Center-Parsons/Archer
267,E,280,279,40.700486,-73.807969,40.702566,-73.816859,Jamaica-Van Wyck,Sutphin Blvd-Archer Av-JFK Airport
268,G,282,606,40.746554,-73.943832,40.744065,-73.949724,21 St,Court Sq
269,G,283,282,40.744065,-73.949724,40.731352,-73.954449,Greenpoint Av,21 St
270,G,284,283,40.731352,-73.954449,40.724635,-73.951277,Nassau Av,Greenpoint Av
271,G,629,284,40.724635,-73.951277,40.712792,-73.951418,Metropolitan Av,Nassau Av
272,G,286,629,40.712792,-73.951418,40.706092,-73.950308,Broadway,Metropolitan Av
273,G,287,286,40.706092,-73.950308,40.700377,-73.950234,Flushing Av,Broadway
274,G,288,287,40.700377,-73.950234,40.694568,-73.949046,Myrtle-Willoughby Avs,Flushing Av
275,G,289,288,40.694568,-73.949046,40.689627,-73.953522,Bedford-Nostrand Avs,Myrtle-Willoughby Avs
276,G,290,289,40.689627,-73.953522,40.688873,-73.96007,Classon Av,Bedford-Nostrand Avs
277,G,291,290,40.688873,-73.96007,40.688089,-73.966839,Clinton-Washington Avs,Classon Av
278,G,292,291,40.688089,-73.966839,40.687119,-73.975375,Fulton St,Clinton-Washington Avs
279,1,294,293,40.889248,-73.898583,40.884667,-73.90087,238 St,Van Cortlandt Park-242 St
280,1,295,294,40.884667,-73.90087,40.878856,-73.904834,231 St,238 St
281,1,296,295,40.878856,-73.904834,40.874561,-73.909831,Marble Hill-225 St,231 St
282,1,297,296,40.874561,-73.909831,40.869444,-73.915279,215 St,Marble Hill-225 St
283,1,298,297,40.869444,-73.915279,40.864621,-73.918822,207 St,215 St
284,1,299,298,40.864621,-73.918822,40.860531,-73.925536,Dyckman St,207 St
285,1,300,299,40.860531,-73.925536,40.855225,-73.929412,191 St,Dyckman St
286,1,301,300,40.855225,-73.929412,40.849505,-73.933596,181 St,191 St
287,1,605,301,40.849505,-73.933596,40.840556,-73.940133,168 St-Washington Hts,181 St
288,1,303,605,40.840556,-73.940133,40.834041,-73.94489,157 St,168 St-Washington Hts
289,1,304,303,40.834041,-73.94489,40.826551,-73.95036,145 St,157 St
290,1,305,304,40.826551,-73.95036,40.822008,-73.953676,137 St-City College,145 St
291,1,306,305,40.822008,-73.953676,40.815581,-73.958372,125 St,137 St-City College
292,1,307,306,40.815581,-73.958372,40.807722,-73.96411,116 St-Columbia University,125 St
293,1,308,307,40.807722,-73.96411,40.803967,-73.966847,Cathedral Pkwy (110 St),116 St-Columbia University
294,1,309,308,40.803967,-73.966847,40.799446,-73.968379,103 St,Cathedral Pkwy (110 St)
295,1 2 3,310,309,40.799446,-73.968379,40.793919,-73.972323,96 St,103 St
296,1,311,310,40.793919,-73.972323,40.788644,-73.976218,86 St,96 St
297,1,312,311,40.788644,-73.976218,40.783934,-73.979917,79 St,86 St
298,1 2 3,313,312,40.783934,-73.979917,40.778453,-73.98197,72 St,79 St
299,1,314,313,40.778453,-73.98197,40.77344,-73.982209,66 St-Lincoln Center,72 St
300,1,614,314,40.77344,-73.982209,40.768247,-73.981929,59 St-Columbus Circle,66 St-Lincoln Center
301,1,316,614,40.768247,-73.981929,40.761728,-73.983849,50 St,59 St-Columbus Circle
302,1 2 3,611,316,40.761728,-73.983849,40.75529,-73.987495,Times Sq-42 St,50 St
303,1 2 3,318,611,40.75529,-73.987495,40.750373,-73.991057,34 St-Penn Station,Times Sq-42 St
304,1,319,318,40.750373,-73.991057,40.747215,-73.993365,28 St,34 St-Penn Station
305,1,320,319,40.747215,-73.993365,40.744081,-73.995657,23 St,28 St
306,1,321,320,40.744081,-73.995657,40.74104,-73.997871,18 St,23 St
307,1 2 3,601,321,40.74104,-73.997871,40.737826,-74.000201,14 St,18 St
308,1,323,601,40.737826,-74.000201,40.733422,-74.002906,Christopher St-Sheridan Sq,14 St
309,1,324,323,40.733422,-74.002906,40.728251,-74.005367,Houston St,Christopher St-Sheridan Sq
310,1,325,324,40.728251,-74.005367,40.722854,-74.006277,Canal St,Houston St
311,1,326,325,40.722854,-74.006277,40.719318,-74.006886,Franklin St,Canal St
312,1 2 3,327,326,40.719318,-74.006886,40.715478,-74.009266,Chambers St,Franklin St
313,1,328,327,40.715478,-74.009266,40.711835,-74.012188,WTC Cortlandt,Chambers St
314,1,329,328,40.711835,-74.012188,40.707513,-74.013783,Rector St,WTC Cortlandt
315,1,635,329,40.707513,-74.013783,40.702068,-74.013664,South Ferry,Rector St
316,2 3,628,624,40.713051,-74.008811,40.709416,-74.006571,Fulton St,Park Place
317,2 3,333,628,40.709416,-74.006571,40.706821,-74.0091,Wall St,Fulton St
318,2 3,334,333,40.706821,-74.0091,40.697466,-73.993086,Clark St,Wall St
319,2 3,620,334,40.697466,-73.993086,40.693219,-73.989998,Borough Hall,Clark St
320,2 3,336,620,40.693219,-73.989998,40.690545,-73.985065,Hoyt St,Borough Hall
321,2 3 4 5,337,336,40.690545,-73.985065,40.688246,-73.980492,Nevins St,Hoyt St
322,2 3 4 5,617,337,40.688246,-73.980492,40.684359,-73.977666,Atlantic Av-Barclays Ctr,Nevins St
323,2 3,339,617,40.684359,-73.977666,40.680829,-73.975098,Bergen St,Atlantic Av-Barclays Ctr
324,2 3,340,339,40.680829,-73.975098,40.675235,-73.971046,Grand Army Plaza,Bergen St
325,2 3,341,340,40.675235,-73.971046,40.671987,-73.964375,Eastern Pkwy-Brooklyn Museum,Grand Army Plaza
326,2 3 4 5,626,341,40.671987,-73.964375,40.670682,-73.958131,Franklin Av-Medgar Evers College,Eastern Pkwy-Brooklyn Museum
327,3,343,626,40.670682,-73.958131,40.669847,-73.950466,Nostrand Av,Franklin Av-Medgar Evers College
328,3,344,343,40.669847,-73.950466,40.669399,-73.942161,Kingston Av,Nostrand Av
329,3 4,345,344,40.669399,-73.942161,40.668897,-73.932942,Crown Hts-Utica Av,Kingston Av
330,3,346,345,40.668897,-73.932942,40.664717,-73.92261,Sutter Av-Rutland Rd,Crown Hts-Utica Av
331,3,347,346,40.664717,-73.92261,40.661453,-73.916327,Saratoga Av,Sutter Av-Rutland Rd
332,3,348,347,40.661453,-73.916327,40.662549,-73.908946,Rockaway Av,Saratoga Av
333,3,349,348,40.662549,-73.908946,40.663515,-73.902447,Junius St,Rockaway Av
334,3,350,349,40.663515,-73.902447,40.664635,-73.894895,Pennsylvania Av,Junius St
335,3,351,350,40.664635,-73.894895,40.665449,-73.889395,Van Siclen Av,Pennsylvania Av
336,3,352,351,40.665449,-73.889395,40.666235,-73.884079,New Lots Av,Van Siclen Av
337,2 5,354,353,40.667883,-73.950683,40.662742,-73.95085,Sterling St,President St-Medgar Evers College
338,2 5,355,354,40.662742,-73.95085,40.656652,-73.9502,Winthrop St,Sterling St
339,2 5,356,355,40.656652,-73.9502,40.650843,-73.949575,Church Av,Winthrop St
340,2 5,357,356,40.650843,-73.949575,40.645098,-73.948959,Beverly Rd,Church Av
341,2 5,358,357,40.645098,-73.948959,40.639967,-73.948411,Newkirk Av-Little Haiti,Beverly Rd
342,2 5,359,358,40.639967,-73.948411,40.632836,-73.947642,Flatbush Av-Brooklyn College,Newkirk Av-Little Haiti
343,6,361,360,40.852462,-73.828121,40.84681,-73.832569,Buhre Av,Pelham Bay Park
344,6,362,361,40.84681,-73.832569,40.843863,-73.836322,Middletown Rd,Buhre Av
345,6,363,362,40.843863,-73.836322,40.839892,-73.842952,Westchester Sq-E Tremont Av,Middletown Rd
346,6,364,363,40.839892,-73.842952,40.836488,-73.847036,Zerega Av,Westchester Sq-E Tremont Av
347,6,365,364,40.836488,-73.847036,40.834255,-73.851222,Castle Hill Av,Zerega Av
348,6,366,365,40.834255,-73.851222,40.833226,-73.860816,Parkchester,Castle Hill Av
349,6,367,366,40.833226,-73.860816,40.831509,-73.867618,St Lawrence Av,Parkchester
350,6,368,367,40.831509,-73.867618,40.829521,-73.874516,Morrison Av-Soundview,St Lawrence Av
351,6,369,368,40.829521,-73.874516,40.828584,-73.879159,Elder Av,Morrison Av-Soundview
352,6,370,369,40.828584,-73.879159,40.826525,-73.886283,Whitlock Av,Elder Av
353,6,371,370,40.826525,-73.886283,40.820948,-73.890549,Hunts Point Av,Whitlock Av
354,6,372,371,40.820948,-73.890549,40.816104,-73.896435,Longwood Av,Hunts Point Av
355,6,373,372,40.816104,-73.896435,40.812118,-73.904098,E 149 St,Longwood Av
356,6,374,373,40.812118,-73.904098,40.808719,-73.907657,E 143 St-St Mary's St,E 149 St
357,6,375,374,40.808719,-73.907657,40.805368,-73.914042,Cypress Av,E 143 St-St Mary's St
358,6,376,375,40.805368,-73.914042,40.807566,-73.91924,Brook Av,Cypress Av
359,6,377,376,40.807566,-73.91924,40.810476,-73.926138,3 Av-138 St,Brook Av
360,4,379,378,40.886037,-73.878751,40.87975,-73.884655,Mosholu Pkwy,Woodlawn
361,4,380,379,40.87975,-73.884655,40.873412,-73.890064,Bedford Park Blvd-Lehman College,Mosholu Pkwy
362,4,381,380,40.873412,-73.890064,40.86776,-73.897174,Kingsbridge Rd,Bedford Park Blvd-Lehman College
363,4,382,381,40.86776,-73.897174,40.862803,-73.901034,Fordham Rd,Kingsbridge Rd
364,4,383,382,40.862803,-73.901034,40.858407,-73.903879,183 St,Fordham Rd
365,4,384,383,40.858407,-73.903879,40.853453,-73.907684,Burnside Av,183 St
366,4,385,384,40.853453,-73.907684,40.84848,-73.911794,176 St,Burnside Av
367,4,386,385,40.84848,-73.911794,40.844434,-73.914685,Mt Eden Av,176 St
368,4,387,386,40.844434,-73.914685,40.840075,-73.917791,170 St,Mt Eden Av
369,4,388,387,40.840075,-73.917791,40.835537,-73.9214,167 St,170 St
370,4,604,388,40.835537,-73.9214,40.827994,-73.925831,161 St-Yankee Stadium,167 St
371,4,603,604,40.827994,-73.925831,40.818375,-73.927351,149 St-Grand Concourse,161 St-Yankee Stadium
372,4 5,391,603,40.818375,-73.927351,40.813224,-73.929849,138 St-Grand Concourse,149 St-Grand Concourse
373,4 5 6,392,391,40.813224,-73.929849,40.804138,-73.937594,125 St,138 St-Grand Concourse
374,6,393,392,40.804138,-73.937594,40.798629,-73.941617,116 St,125 St
375,6,394,393,40.798629,-73.941617,40.79502,-73.94425,110 St,116 St
376,6,395,394,40.79502,-73.94425,40.7906,-73.947478,103 St,110 St
377,6,396,395,40.7906,-73.947478,40.785672,-73.95107,96 St,103 St
378,4 5 6,397,396,40.785672,-73.95107,40.779492,-73.955589,86 St,96 St
379,6,398,397,40.779492,-73.955589,40.77362,-73.959874,77 St,86 St
380,6,399,398,40.77362,-73.959874,40.768141,-73.96387,68 St-Hunter College,77 St
381,4 5 6,613,399,40.768141,-73.96387,40.762526,-73.967967,59 St,68 St-Hunter College
382,6,612,613,40.762526,-73.967967,40.757107,-73.97192,51 St,59 St
383,4 5 6,610,612,40.757107,-73.97192,40.751776,-73.976848,Grand Central-42 St,51 St
384,6,403,610,40.751776,-73.976848,40.746081,-73.982076,33 St,Grand Central-42 St
385,6,404,403,40.746081,-73.982076,40.74307,-73.984264,28 St,33 St
386,6,405,404,40.74307,-73.984264,40.739864,-73.986599,23 St,28 St
387,4 5 6,602,405,40.739864,-73.986599,40.734673,-73.989951,14 St-Union Sq,23 St
388,6,407,602,40.734673,-73.989951,40.730054,-73.99107,Astor Pl,14 St-Union Sq
389,6,619,407,40.730054,-73.99107,40.725915,-73.994659,Bleecker St,Astor Pl
