,station_complex_id,borough,routes,latitude,longitude,date,ridership
0,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2022-02-28,605659
1,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2022-03-31,825333
2,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2022-04-30,795425
3,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2022-05-31,837035
4,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2022-06-30,850842
5,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2022-07-31,781929
6,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2022-08-31,846239
7,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2022-09-30,905129
8,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2022-10-31,933839
9,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2022-11-30,901257
10,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2022-12-31,929205
11,A002,M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,2023-01-31,871015
12,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2022-02-28,166552
13,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2022-03-31,236679
14,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2022-04-30,243941
15,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2022-05-31,262959
16,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2022-06-30,273161
17,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2022-07-31,259802
18,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2022-08-31,260461
19,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2022-09-30,282684
20,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2022-10-31,237698
21,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2022-11-30,278250
22,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2022-12-31,311969
23,A006,M,"N,R,W",40.76481246948242,-73.97335052490234,2023-01-31,251359
24,A010,M,"N,R,Q,W",40.76466369628906,-73.98065948486328,2022-02-28,388839
25,A010,M,"N,R,Q,W",40.76466369628906,-73.98065948486328,2022-03-31,545378
26,A010,M,"N,R,Q,W",40.76466369628906,-73.98065948486328,2022-04-30,526165
27,A010,M,"N,R,Q,W",40.76466369628906,-73.98065948486328,2022-05-31,564552
28,A010,M,"N,R,Q,W",40.76466369628906,-73.98065948486328,2022-06-30,547231
29,A010,M,"N,R,Q,W",40.76466369628906,-73.98065948486328,2022-07-31,522691
