,from,to,total_ridership,distance
349,"(369, 'Elder Av')","(368, 'Morrison Av-Soundview')",120920.27491183334,404.3048791903099
350,"(370, 'Whitlock Av')","(369, 'Elder Av')",118857.04974824862,641.6445529424881
351,"(371, 'Hunts Point Av')","(370, 'Whitlock Av')",116926.12917471038,716.5322682292618
352,"(372, 'Longwood Av')","(371, 'Hunts Point Av')",101987.74690894414,731.747057225283
353,"(373, 'E 149 St')","(372, 'Longwood Av')",93016.87491376548,782.5146703513337
354,"(374, ""E 143 St-St Mary's St"")","(373, 'E 149 St')",78591.17192584154,482.25015111970185
355,"(375, 'Cypress Av')","(374, ""E 143 St-St Mary's St"")",73181.52695542319,653.9379577209679
356,"(376, 'Brook Av')","(375, 'Cypress Av')",61428.82356796033,501.1348057466013
357,"(377, '3 Av-138 St')","(376, 'Brook Av')",37356.8216517049,664.6395262262881
359,"(380, 'Bedford Park Blvd-Lehman College')","(379, 'Mosholu Pkwy')",178258.69059922107,838.7469848774093
360,"(381, 'Kingsbridge Rd')","(380, 'Bedford Park Blvd-Lehman College')",295421.083256761,867.4066910577835
361,"(382, 'Fordham Rd')","(381, 'Kingsbridge Rd')",472446.97270946944,639.6679183362708
362,"(383, '183 St')","(382, 'Fordham Rd')",663487.2561158346,544.2264530824988
363,"(384, 'Burnside Av')","(383, '183 St')",770633.2257146898,637.06767875865
364,"(385, '176 St')","(384, 'Burnside Av')",924051.6604372592,652.1355572597544
365,"(386, 'Mt Eden Av')","(385, '176 St')",1009940.595786225,511.41062806331314
366,"(387, '170 St')","(386, 'Mt Eden Av')",1087092.5232872693,550.63584385181
367,"(388, '167 St')","(387, '170 St')",1197881.148131411,588.9009294856329
368,"(604, '161 St-Yankee Stadium')","(388, '167 St')",1324327.6618555458,917.861605111216
369,"(603, '149 St-Grand Concourse')","(604, '161 St-Yankee Stadium')",2026753.2553703124,1077.2054098019983
370,"(391, '138 St-Grand Concourse')","(603, '149 St-Grand Concourse')",1812599.3952964104,610.12447713305
371,"(392, '125 St')","(391, '138 St-Grand Concourse')",1771526.593137079,1202.3490354904152
372,"(393, '116 St')","(392, '125 St')",1672382.7296346563,699.9383756541589
373,"(394, '110 St')","(393, '116 St')",1546162.8752597857,458.4418175807254
374,"(395, '103 St')","(394, '110 St')",1427739.8516260257,561.6042563989962
375,"(396, '96 St')","(395, '103 St')",1278885.2523479522,625.8759519506806
376,"(397, '86 St')","(396, '96 St')",1071067.228962818,785.4878146035761
377,"(398, '77 St')","(397, '86 St')",787271.4753725801,745.9985039379803
378,"(399, '68 St-Hunter College')","(398, '77 St')",395833.9341153268,695.9942019871819
382,"(403, '33 St')","(610, 'Grand Central-42 St')",40541117.03205015,771.3403606304064
383,"(404, '28 St')","(403, '33 St')",42392035.82862923,382.19495263862154
384,"(405, '23 St')","(404, '28 St')",43754420.748844154,407.16681732593537
385,"(602, '14 St-Union Sq')","(405, '23 St')",45481968.15365407,642.6006724155695
386,"(407, 'Astor Pl')","(602, '14 St-Union Sq')",3445974.9952998953,522.1927829077794
387,"(619, 'Bleecker St')","(407, 'Astor Pl')",3761968.305469947,550.7091342475101
388,"(409, 'Spring St')","(619, 'Bleecker St')",3741079.736104068,453.0321200262946
389,"(623, 'Canal St')","(409, 'Spring St')",4011123.2944914782,466.31047215531567
391,"(413, 'Wall St')","(628, 'Fulton St')",3324814.4714188282,370.1832441581868
392,"(414, 'Bowling Green')","(413, 'Wall St')",1937236.998958164,356.80540730659783
393,"(620, 'Borough Hall')","(414, 'Bowling Green')",531852.0714114597,2443.2422717089867
395,"(418, '233 St')","(417, 'Nereid Av')",68539.79429771972,632.6893062815926
396,"(419, '225 St')","(418, '233 St')",162175.5273716481,623.4849971218679
397,"(420, '219 St')","(419, '225 St')",229724.58376277323,497.7103334208484
398,"(421, 'Gun Hill Rd')","(420, '219 St')",286743.79695727245,737.9660640083678
399,"(422, 'Burke Av')","(421, 'Gun Hill Rd')",402502.30856348464,726.1253795737462
400,"(423, 'Allerton Av')","(422, 'Burke Av')",458062.83385994955,655.5744313928551
401,"(424, 'Pelham Pkwy')","(423, 'Allerton Av')",544466.829460858,919.8492521996028
402,"(425, 'Bronx Park East')","(424, 'Pelham Pkwy')",674603.4810162103,932.7279876183518
403,"(426, 'E 180 St')","(425, 'Bronx Park East')",716694.5144639337,879.5296178089932
404,"(427, 'West Farms Sq-E Tremont Av')","(426, 'E 180 St')",843053.9598073985,579.8566237536824
405,"(428, '174 St')","(427, 'West Farms Sq-E Tremont Av')",932584.3032902862,727.8469847186307
406,"(429, 'Freeman St')","(428, '174 St')",1021013.5868542547,882.4866223281449
407,"(430, 'Simpson St')","(429, 'Freeman St')",1082573.9036184775,665.9604526573328
408,"(431, 'Intervale Av')","(430, 'Simpson St')",1183465.339333273,373.802946936935
409,"(432, 'Prospect Av')","(431, 'Intervale Av')",1221926.6547088253,512.6034431137643
410,"(433, 'Jackson Av')","(432, 'Prospect Av')",1302097.7406610318,613.6153532289625
411,"(434, '3 Av-149 St')","(433, 'Jackson Av')",1358696.50454561,838.3979286458243
412,"(603, '149 St-Grand Concourse')","(434, '3 Av-149 St')",1556635.7615357877,796.3122883111872
414,"(438, '135 St')","(437, '145 St')",7523.8785800984715,786.8033908577046
415,"(439, '125 St')","(438, '135 St')",23716.677097216852,822.5046631943686
416,"(440, '116 St')","(439, '125 St')",25593.312461853377,718.592104451498
417,"(441, 'Central Park North (110 St)')","(440, '116 St')",15383.751954917887,383.65432222809363
419,"(444, 'Gun Hill Rd')","(443, 'Baychester Av')",2339.6178578441736,1208.9536865702005
420,"(445, 'Pelham Pkwy')","(444, 'Gun Hill Rd')",3260.6998263102423,1394.0783659982135
421,"(446, 'Morris Park')","(445, 'Pelham Pkwy')",2145.6143156901308,671.2702307304497
423,"(449, '111 St')","(448, 'Mets-Willets Point')",783000.8610954694,878.7749372172955
424,"(450, '103 St-Corona Plaza')","(449, '111 St')",2222683.093329054,654.2238337958177
425,"(451, 'Junction Blvd')","(450, '103 St-Corona Plaza')",4820734.195111066,580.6396704908901
426,"(452, '90 St-Elmhurst Av')","(451, 'Junction Blvd')",7791288.989165197,602.5171460798608
427,"(453, '82 St-Jackson Hts')","(452, '90 St-Elmhurst Av')",9697964.265868574,602.5398271931738
428,"(616, '74 St-Broadway')","(453, '82 St-Jackson Hts')",11568997.529464256,654.6437925937788
429,"(455, '69 St')","(616, '74 St-Broadway')",17958817.850891665,425.9558706155561
430,"(456, '61 St-Woodside')","(455, '69 St')",18547215.89803273,559.7608602444819
431,"(457, '52 St')","(456, '61 St-Woodside')",20392098.87272245,822.4492699966315
432,"(458, '46 St-Bliss St')","(457, '52 St')",20982192.70055233,508.60073370561634
433,"(459, '40 St-Lowery St')","(458, '46 St-Bliss St')",22190499.659771785,475.6817261700324
434,"(460, '33 St-Rawson St')","(459, '40 St-Lowery St')",23080176.67264395,594.9031111862014
435,"(461, 'Queensboro Plaza')","(460, '33 St-Rawson St')",23768981.747172445,1022.5816954608164
436,"(606, 'Court Sq')","(461, 'Queensboro Plaza')",24730925.26848939,581.7602404126383
437,"(463, 'Hunters Point Av')","(606, 'Court Sq')",28541183.002886273,616.7340113663347
438,"(464, 'Vernon Blvd-Jackson Av')","(463, 'Hunters Point Av')",28962971.724361595,395.6481325907383
439,"(610, 'Grand Central-42 St')","(464, 'Vernon Blvd-Jackson Av')",30256462.783380684,2130.368440293119
444,"(477, '72 St')","(476, '86 St')",37037.62456611246,1155.1830010440851
