,from,to,total_ridership,distance
83,"(90, 'Van Siclen Av')","(89, 'Cleveland St')",2544603.226898316,631.7136657487295
84,"(91, 'Alabama Av')","(90, 'Van Siclen Av')",2787213.5695895418,598.5410099423002
85,"(621, 'Broadway Junction')","(91, 'Alabama Av')",2971833.019318485,567.1683820127025
86,"(93, 'Chauncey St')","(621, 'Broadway Junction')",5937137.413669975,627.4860103578276
87,"(94, 'Halsey St')","(93, 'Chauncey St')",5901792.891934506,643.660611426875
88,"(95, 'Gates Av')","(94, 'Halsey St')",6035514.296747747,602.721452299288
89,"(96, 'Kosciuszko St')","(95, 'Gates Av')",6340337.1442093495,689.0421848547342
90,"(97, 'Myrtle Av')","(96, 'Kosciuszko St')",6672073.886527812,719.3942514111394
91,"(98, 'Flushing Av')","(97, 'Myrtle Av')",7451192.101356371,572.5493025217077
92,"(99, 'Lorimer St')","(98, 'Flushing Av')",7961235.508132249,664.4390612729069
93,"(100, 'Hewes St')","(99, 'Lorimer St')",8226896.5782428,607.54874938157
94,"(101, 'Marcy Av')","(100, 'Hewes St')",8405675.955025056,400.4724840384267
95,"(625, 'Delancey St-Essex St')","(101, 'Marcy Av')",9429813.700444588,2735.5648466124094
96,"(103, 'Bowery')","(625, 'Delancey St-Essex St')",23630269.094813,588.043048270603
97,"(623, 'Canal St')","(103, 'Bowery')",23784141.98208447,559.3987832402267
98,"(622, 'Chambers St')","(623, 'Canal St')",59572220.18251539,614.9664254114268
99,"(628, 'Fulton St')","(622, 'Chambers St')",58997446.380767904,475.3505138725764
100,"(107, 'Broad St')","(628, 'Fulton St')",551868.2680559874,523.0819634078673
102,"(110, 'Forest Av')","(109, 'Fresh Pond Rd')",600132.8866299837,637.7925273300888
103,"(111, 'Seneca Av')","(110, 'Forest Av')",1039875.2753262675,434.3028954084554
104,"(630, 'Myrtle-Wyckoff Avs')","(111, 'Seneca Av')",1310323.8315375568,539.0727576168613
105,"(113, 'Knickerbocker Av')","(630, 'Myrtle-Wyckoff Avs')",826217.913079366,623.4423482750826
106,"(114, 'Central Av')","(113, 'Knickerbocker Av')",410148.2134819887,654.13704259787
109,"(118, '3 Av')","(602, '14 St-Union Sq')",15561098.587243497,444.16317980570886
110,"(119, '1 Av')","(118, '3 Av')",15051382.67269383,433.4002156982934
111,"(120, 'Bedford Av')","(119, '1 Av')",12645420.90763996,2579.8500878651435
112,"(629, 'Lorimer St')","(120, 'Bedford Av')",9044330.629018107,662.581111270147
113,"(122, 'Graham Av')","(629, 'Lorimer St')",7612357.789469186,527.3693803058322
114,"(123, 'Grand St')","(122, 'Graham Av')",6907826.416406562,409.157738366141
115,"(124, 'Montrose Av')","(123, 'Grand St')",6422078.004029648,470.6761613983422
116,"(125, 'Morgan Av')","(124, 'Montrose Av')",5904960.503106678,591.9257348790848
117,"(126, 'Jefferson St')","(125, 'Morgan Av')",5367956.21666137,864.1342082267375
118,"(127, 'DeKalb Av')","(126, 'Jefferson St')",4757526.166905605,489.67337132356005
119,"(630, 'Myrtle-Wyckoff Avs')","(127, 'DeKalb Av')",4557130.676374968,727.945997320177
120,"(129, 'Halsey St')","(630, 'Myrtle-Wyckoff Avs')",4045435.10394137,786.9838919547774
121,"(130, 'Wilson Av')","(129, 'Halsey St')",4177861.955004808,760.3587083608633
122,"(131, 'Bushwick Av-Aberdeen St')","(130, 'Wilson Av')",4289627.470271527,667.6927887307955
123,"(621, 'Broadway Junction')","(131, 'Bushwick Av-Aberdeen St')",4361901.800871449,473.1461354019073
124,"(133, 'Atlantic Av')","(621, 'Broadway Junction')",1745794.051867801,390.59212858701613
125,"(134, 'Sutter Av')","(133, 'Atlantic Av')",1578144.3659814354,671.4254175429355
126,"(135, 'Livonia Av')","(134, 'Sutter Av')",1328689.383762895,604.2750805424885
127,"(136, 'New Lots Av')","(135, 'Livonia Av')",1057611.3005945252,600.6050992022915
128,"(137, 'East 105 St')","(136, 'New Lots Av')",694110.3271676745,907.6028291821068
129,"(138, 'Canarsie-Rockaway Pkwy')","(137, 'East 105 St')",418418.45825912966,479.2794991317936
130,"(141, 'Park Pl')","(627, 'Franklin Av')",166061.59878847026,665.0940592111971
133,"(145, '190 St')","(144, 'Dyckman St')",123527.06455414079,924.6615866465661
134,"(146, '181 St')","(145, '190 St')",198338.90689120072,874.831046177563
135,"(147, '175 St')","(146, '181 St')",382114.07728329435,500.3386271505445
136,"(605, '168 St')","(147, '175 St')",581271.3160763208,741.9910860077644
137,"(149, '163 St-Amsterdam Av')","(605, '168 St')",1030024.938050454,524.0243961342333
138,"(150, '155 St')","(149, '163 St-Amsterdam Av')",1085554.3926445432,626.0699691833147
139,"(151, '145 St')","(150, '155 St')",1116780.9278121952,677.0164578733619
140,"(152, '135 St')","(151, '145 St')",1459520.434115709,818.6824381627722
141,"(153, '125 St')","(152, '135 St')",1520210.416397133,851.6185471845571
142,"(154, '116 St')","(153, '125 St')",1884835.4992861564,703.0994167210238
143,"(155, 'Cathedral Pkwy (110 St)')","(154, '116 St')",1950408.8066799613,569.6949175877098
144,"(156, '103 St')","(155, 'Cathedral Pkwy (110 St)')",2018161.5167782654,573.0960998694391
145,"(157, '96 St')","(156, '103 St')",2051640.5072015068,565.0920682485909
146,"(158, '86 St')","(157, '96 St')",2122500.9583690884,733.7821056249034
147,"(159, '81 St-Museum of Natural History')","(158, '86 St')",2194198.6776259555,563.0419620540658
148,"(160, '72 St')","(159, '81 St-Museum of Natural History')",2282458.8193362085,742.0487499279274
149,"(614, '59 St-Columbus Circle')","(160, '72 St')",2321097.1225500046,927.1936091854815
150,"(162, '50 St')","(614, '59 St-Columbus Circle')",447291.46517788,741.406986484627
153,"(165, '23 St')","(164, '34 St-Penn Station')",7742035.359990382,810.4798238629406
154,"(618, '14 St')","(165, '23 St')",9773310.882265417,636.569668109324
155,"(167, 'W 4 St-Wash Sq')","(618, '14 St')",14524592.541881049,956.5873387203883
156,"(167, 'W 4 St-Wash Sq')","(167, 'W 4 St-Wash Sq')",0.0,0.0
157,"(168, 'Spring St')","(167, 'W 4 St-Wash Sq')",18537365.895396836,732.4337386518094
158,"(169, 'Canal St')","(168, 'Spring St')",19748077.66608519,613.7681302279929
159,"(624, 'Chambers St')","(169, 'Canal St')",21314935.105751723,798.2415179786468
161,"(628, 'Fulton St')","(624, 'Chambers St')",25937410.119206205,441.6923244174624
162,"(173, 'High St')","(628, 'Fulton St')",36935068.29461376,1884.3044962676368
163,"(636, 'Jay St-MetroTech')","(173, 'High St')",36676808.99885644,823.3840523177589
164,"(175, 'Hoyt-Schermerhorn Sts')","(636, 'Jay St-MetroTech')",12990657.391105043,471.8146434680717
165,"(176, 'Lafayette Av')","(175, 'Hoyt-Schermerhorn Sts')",12090156.21674382,968.6905658331337
166,"(177, 'Clinton-Washington Avs')","(176, 'Lafayette Av')",11720018.57144946,753.5458817680253
167,"(627, 'Franklin Av')","(177, 'Clinton-Washington Avs')",11257836.305433528,786.4497561330685
168,"(179, 'Nostrand Av')","(627, 'Franklin Av')",10802087.441427736,551.572066202324
169,"(180, 'Kingston-Throop Avs')","(179, 'Nostrand Av')",9453759.583644098,808.875541174094
170,"(181, 'Utica Av')","(180, 'Kingston-Throop Avs')",9036923.392401844,856.3863839090318
171,"(182, 'Ralph Av')","(181, 'Utica Av')",8121831.812753826,840.6291482786177
172,"(183, 'Rockaway Av')","(182, 'Ralph Av')",7859578.839464567,747.3829214385694
173,"(621, 'Broadway Junction')","(183, 'Rockaway Av')",7769465.468432915,559.0964814249868
174,"(185, 'Liberty Av')","(621, 'Broadway Junction')",4744375.094194788,851.1866038367679
175,"(186, 'Van Siclen Av')","(185, 'Liberty Av')",4524270.615928245,560.367134659053
176,"(187, 'Shepherd Av')","(186, 'Van Siclen Av')",4288226.669502001,825.526311761418
177,"(188, 'Euclid Av')","(187, 'Shepherd Av')",4028602.5294260294,742.042638636055
178,"(189, 'Grant Av')","(188, 'Euclid Av')",3121514.810364318,623.2418618742249
179,"(190, '80 St')","(189, 'Grant Av')",2600152.2722496446,572.6529129745437
180,"(191, '88 St')","(190, '80 St')",2170834.8373166425,636.4724019426303
181,"(192, 'Rockaway Blvd')","(191, '88 St')",1904490.284167713,645.6073899731851
182,"(193, '104 St')","(192, 'Rockaway Blvd')",1144090.4098179375,539.4592683788992
